用户,评论内容,点赞数,评论时间,观点分类
凌晨安静二点半,安全还是特别重要的，特别是受到撞击车门打不开，断电机械锁打开，如果机械锁打不开，只能破窗了，还要用破窗锤,0,2025-11-08 10:08:45,反对
jnfhht,国内车企的法务是真的厉害,0,2025-10-26 10:17:22,支持
种足蛤蜊,和预言家合影留念,0,2025-10-26 07:37:20,中立
把钱全送给独苟,现在这些新能源车，那门把手几乎全是半隐藏，然后车外上下左右四个方向掰的都有。车内有机械的把手，也有按键开的。我就说哪天出事故了，外面人先试一下你这门把手往哪掰的，发现外面打不开，把窗户砸开，手往里一摸发现没有把手，那小按钮让人慢慢找去吧。,3,2025-10-22 03:25:12,支持
马蚤言舌米青,我宣布这位驾照不需重考，人经过重烤车主，晋升为小米骨灰粉！,0,2025-10-26 08:57:33,支持
是十三的拾叁啊,说油车能救出来的估计车都没有,0,2025-10-28 20:30:32,支持
小鸡毛和小小白,有没有大哥了解钛7这种门把手是属于电控还是传统的门把手呢？,0,2025-10-28 09:31:26,中立
柯鎮悪,涉嫌也就不是肯定咯,0,2025-10-26 03:45:41,中立
乐和kitty妈,首先这个出车祸的人酒驾飙车。是很可怕很可怕的事情。 庆幸他出事的地点不是在人多的地方。前两天的那个高中门口的车祸。 也是酒驾多么惨烈！ 不管是这个小米还是那个大米。谁都不敢说自己完美无瑕疵的隐藏式门把手没问题,1,2025-10-17 09:33:25,支持
门夹脑袋,手机耗电量这么大，系统这么卡，什么时候能优化好？,1,2025-10-17 09:15:51,支持
弗兰入,为燃烧而生,0,2025-10-28 20:03:05,支持
土方大老爷,总结，这个门把手还是得机械式的，不要搞成电动隐藏式的。不要为了一点点所谓的减少风阻搞这种不安全的冗余设计。,1,2025-10-17 21:45:17,支持
逍遥谢二哥,现有国标5分钟，也不满足要求，起火太快了,1,2025-10-20 12:33:40,反对
浪味仙era,三观好正，点赞👍,0,2025-10-26 10:59:33,支持
Aetherial烬鸳,电车就特斯拉[汤圆][汤圆][汤圆],0,2025-10-24 20:03:24,中立
佛祖芯中留,主要还是人的问题，车有没有问题，咱也不敢说呀 逝者安息🙏,0,2025-10-22 01:31:00,支持
平凡的山峰,说个冷知识，小米的隐藏式门把手是学特斯拉的。特斯拉是第一个用隐藏式门把手。,1,2025-10-16 11:32:20,支持
翩雪映月,此时此刻如果雷军来一个线下可选择召回，允许小米店给su7都预约改装上备用冗余电源（该机械结构过于复杂），那小米或许会亏钱，但一定能赚十倍的钱，因为到目前为止，厂商能承认原因的一家都没有，不用说什么是小米的问题，小米的“小字”“使用手册条例”等这些，在任何一家厂商都有，但是从未明标注过，小米是唯一一家标注出来的，但采用了小字。我在八九岁的时候就被360坑过，从此使用各种软件、购买商品，都会大致过一遍条款，以免太坑，说实话小米的那些条款跟其他厂商比起来，已经很宽松了，规避责任的条款漏洞还是百出的，跟其他厂商的比起来简直就是小朋友，但小米的存在让广大消费者认识到了查看各种条款的态度，这个十分重要百分重要万分重要，是防诈骗的最后一道墙,2,2025-10-18 09:15:42,支持
爱海海呀,酒驾加超速，要开到人行道这速度得死多少人？关键酒驾，真撞人了保险不赔，他还不一定赔得起钱，你死了白死，总结就是真酒驾加超速，烧死是应该得,0,2025-10-16 15:09:35,反对
木子qazws,那些讲死者地狱笑话的，是不是有点过分了？讨厌小米可以，但人家被烧死，就因为是小米汽车用户，你就幸灾乐祸？你可以当厂商孝子，但别忘了你还是个人，还有没有基本的人性？,2,2025-10-16 16:47:50,支持
XiaobeiEve,这要是一辆保时捷，同条件下会不会着火呢？抛开价格不谈[笑哭],0,2025-10-23 02:48:22,中立
挤蘑挤蘑挤蘑菇,这个拐弯速度不快啊，我的标致408 60迈拐这个角度的弯也没什么问题,0,2025-10-22 20:39:13,支持
奶香蛋糕,国标标准是有撞击速度限制的,0,2025-10-22 12:07:04,支持
狙击习惯,谁家车企不管你油车电车敢保证200km/h的速度撞击后门能打开的[辣眼睛],35,2025-10-18 09:12:20,支持
づ妖孽,小黑子们现在还在翻去年山西那个事故呢，简直笑死人，这都多久了，还没找到新素材，每次他们发的时候总以为是在黑问界，我却觉得这反而是对问界的肯定[吃瓜],1,2025-10-18 12:50:25,支持
_-Rick-_,超哥可以做一个科普视频 就是目前所有新能源汽车里外开门方法 和物理开关位置 让更多的人学习下救命知识,11,2025-10-15 20:19:09,反对
脚背趴只癞疙宝,没有机械锁，出事故你跑得掉？只要断电，溺水，必死无疑！,0,2025-10-17 22:45:01,支持
啊里咯个西无敌,我懂，一路抄过来么，以前手机起家天天拿荣耀碰瓷营销，通信老本行起家就靠抄思科，成功路径就是复制别人[吃瓜],1,2025-10-18 02:33:29,中立
快乐每一天老张,都是省成本省的错，隐藏的地方有几人能知道？,3,2025-10-17 19:35:21,支持
晓天吴江丶御坂,我压根不敢想去开车，驾照都没考，主要是害怕撞人家或者被人家撞，做梦在开车都会翻车，这辈子可能都不会考驾照，买车了[黎歌Neeko_TvT],0,2025-10-31 00:57:13,支持
羲和XVSZ,有点搞笑，米出问题就全网沸腾，其他车企的天天出问题咋不讨论讨论[吃瓜],0,2025-10-30 12:00:29,支持
依然七念,米粉的福报,0,2025-10-25 16:52:13,支持
氵南陇侯,门怎么都不该打不开的，现在的新能源车为了好看，门把手都是进去的,1,2025-10-16 15:12:16,支持
疔帧,酒驾造成的车门打不开[喜极而泣],0,2025-10-17 08:20:16,支持
比翻我,开车不喝酒，平时也别喝，一个个喝了酒就发疯，看着就烦,4,2025-10-16 23:48:04,支持
冷月夜雨下的回忆,上一次我看大火烧了的一个车祸 是埃尔法 而且还是把能救的人就出了 才着的火 这个人就不出来唉。车有问题人有问题 也该死 谁让他开这么快 车也有问题 打不开门 这事大了,0,2025-10-26 22:35:09,支持
Teapuey,华为翻译[doge_金箍][doge_金箍][doge],0,2025-11-02 09:54:51,中立
平时拌饭加个皮蛋,福建平潭人，我来说说这件事的起因经过吧，现在有两个版本，我那天早上带我老婆孩子去卫生院给孩子打疫苗正好经过，看到很多人还有很多骑警救护车还有吊机，事发的地点是在东澳码头那边，然后车掉下去的时候是凌晨四点多，第一个版本是说这个男的酒驾把车开进海里去了，第二个版本是说这个男的因为感情问题想不开直接把车开进海里了，然后这个男的我目前知道的信息是，94年的，离异，独生子，下个月准备结婚，父亲是卖菜的，事情应该过了有十来天了，那时候整个平潭都知道了，朋友圈都在发视频，更何况事发地离我不到十公里。,0,2025-10-24 11:40:58,支持
这个UP偷你作品了,UO请勿信谣传谣!通报是涉嫌酒驾，到你这定性酒驾了!,0,2025-10-17 15:42:46,支持
雨夜帶刀不帶伞-,喜欢我酒驾是吧，下次你就当聊城八连沙中的一员吧[滑稽],0,2025-10-16 11:11:04,支持
沉默的钓鱼人,四川手机报有没有发短信[doge],1,2025-10-16 20:01:29,中立
守夜VIGIL,兄弟们 毛豆3和su7到底怎么选呢,0,2025-10-31 10:56:21,中立
天朝局域网,1.国标电池还没有执行【《电动汽车用动力蓄电池安全要求》（GB38031-2025），将于2026年7月1日施行。】 2.《汽车车门把手安全技术要求》标准建议实施日期为2027年1月1日 3.人的问题最大 4.车子要是放在那里无缘无故自然，那么人没责任。 5.油车也有自燃的，也有打不开车门的。 6.这起事故 电池起火 和 车门打不开，这是事实,0,2025-10-26 02:10:18,支持
i4566,零件责任制，追责到个人[doge_金箍],0,2025-10-22 18:22:48,中立
赵小天的坤坤,为什么我国限速最高120，家用车的速度要做到突破144的上限呢？赛车我不说啥，但家用车就该出厂限速，限速在那摆着设计那么高不就是给安全种下隐患吗？特种车辆和赛车可以突破上限，但家用车就是不该破限,7,2025-10-18 11:57:53,反对
sully_T,有烧焦的图片吗,0,2025-10-27 23:13:16,支持
和平之手,电车只推荐特斯拉,0,2025-10-20 20:29:41,中立
叁经,视频中看到后车窗降下来了说明解锁了但前车窗和车门不开，两种可能1车门挤压变形。2前车门线束撞击短路没解锁。但从车灯关了发现在救援时火已经很大，说明救援时已经因为起火使线路烧毁，说明还是电池的问题，那到底是小米问题还是宁德时代的问题?,0,2025-11-01 07:30:39,支持
腰杆好,23年的事了，记得2月份结了婚提的车，车都撞成这B样了，我也只是右侧手臂轻微骨折，最后还是心理阴影才买的另一个牌子的车。说实话，不是不愿意相信国产，而且有太多的例子让我不敢相信,0,2025-10-25 01:17:47,支持
wingfree,之前雷军营销，拿一个西瓜抹了电池涂料从楼上扔下去没坏。暗示电池安全不怕撞击[doge]还有人记得吗？,0,2025-10-24 18:56:36,反对
香酥老鱼干,我比较建议加一个撞击后尾箱弹开功能，然后给尾箱上加一个破窗锤[doge_金箍],0,2025-10-23 10:26:07,中立
eagprefa,车祸是人的问题，但车祸不一定不致死，把人锁死在车里活活烧死就是车的问题了，车不行是死人的关键[藏狐],0,2025-10-23 10:03:56,支持
龙虎山首f,能不能做一个智能酒驾识别系统，识别到司机酒驾自动锁车[吃瓜],3,2025-10-22 12:30:26,支持
努力工作还贷款,得亏撞得是隔离带，要不然可能在其他路口撞到人,1,2025-10-16 22:08:16,支持
吃一口芝仕,没绷住,0,2025-10-29 13:53:09,支持
考拉怪兽111,老老实实买油车不好吗 50万能买高配奔驰E 不比什么小米好多了？,0,2025-10-28 08:17:33,支持
闭门姬,他烧了没[Mygo表情包_Love],0,2025-10-27 23:30:03,支持
foxheat,不懂就问：麦克风的伸缩功能是如何实现的？,0,2025-10-26 10:55:17,支持
弯弯犬,如果是碰撞致死的，那为什么撞这么狠安全气囊没弹出来，车辆安全吗？如果是烧死的，那车门微动开关设计合理吗？，车子设计安全吗？,0,2025-10-26 10:34:00,反对
觉后知后觉,隔音好啊,2,2025-10-16 11:44:48,支持
唯爱艾拉-,户晨风最有含金量的一集,1,2025-10-16 23:29:06,支持
mhutrdxvb,车主如果开的公路三大妈，会是什么结果,0,2025-10-31 21:42:46,支持
钟爱健身的王先生,我买了小米su7MAX，我开车25万公里了，开这个车从来没超过150。就一次体验过150。还是在高速上，几乎没车，第一次想试一下。150已经可以缺氧了，市区200码？你不死谁死？,0,2025-10-26 23:57:24,支持
我永远喜欢小贝,最主要的还是大马力现在太廉价了 以前四百匹的车都得大几十万 现在十万就能买到四百多匹的车,0,2025-10-22 15:41:27,支持
莫愁前路无知己s,对大马力要有敬畏之心，油车马力大可贵，电车马力大只是标配 很多人开不了这种马力瞎踩就控不住,8,2025-10-16 03:26:29,支持
耀爺3,动能公式p=1/2mv平方,0,2025-10-21 21:11:19,中立
无敌风火轮何金银,挑，雷总自己都不开小米的车，开车死的又不是他，雷总直呼冤枉,0,2025-10-17 15:57:17,支持
宫迟墨,你为什么一惊一乍,0,2025-10-19 13:53:10,中立
低调掠过的信天翁,说的很好但是董事会决策的时候，这种可能导致短期内受益下降的提议百分百通过不了。哪怕真通过了，友商们表面上为你点赞，隔天立马就开发布会，你就成了PPT立马的对比对象了。,0,2025-11-02 10:53:16,支持
Jiang_Clark,人有没有问题不清楚 但是小米汽车估计要赔不少喽[歪嘴],0,2025-10-27 15:23:30,支持
锤子的大起大落,问一下，15万以内有啥车推荐的吗？，想买SUV，安全第一，不要求多高的性能，家用的，一年可能不到2万公里，也可以考虑9成新二手车。,0,2025-10-26 20:16:43,支持
nieyuyong,疲劳驾驶能检测，为什么醉酒还能把车开走？车没长鼻子吗？,0,2025-10-22 10:25:26,支持
流氓阿哥,让你们看看遥遥领先的https://b23.tv/BV1iB4iz7EuT 车祸起火,0,2025-10-21 15:12:08,支持
pb_ClouD,买车就买小米自驾！年轻人的首选！,0,2025-10-20 15:19:17,支持
Sature-Fi,🐁🐁🐁🐁🐁🐁🐁🐁🐁🐁🐁,0,2025-10-16 01:16:26,中立
杰洛6649,做成沃尔沃 福特一样的半机械式很难吗,1,2025-10-17 22:37:24,支持
阿一゜,有没有老哥知道BYD的秦dmi有没有物理开关？还是车门把手就是物理开关？,0,2025-10-30 20:58:38,反对
黎末歌,工业上的所有细节都是人命堆出来的。,0,2025-10-28 13:46:25,支持
我爱吃酥软的椰子,1.车速太快导致门结构损坏打不开门 2.车速太慢导致安全气囊打不开 该命题只能成立一个,0,2025-10-26 16:22:00,反对
V15来囖,撞变形了门把手是否电动都打不开啦，变形了机械就好使？我觉得搞一个微型千斤顶之类的东西，检测到强撞击后倒数个10秒，期间没有二次三次大的撞击，车门锁止自动打开，门关节自动打开脱落，千斤顶把门往外推开让门脱离车身掉落。这样才能保证能出来,0,2025-10-23 00:48:12,反对
菜菜子不想睡,每年车祸有很多 但是电车因为是后起之秀，大家对电车安全问题还是有很多疑问的[笑哭]所以电车起火是有热度的,0,2025-10-29 13:06:04,支持
鱼肉士绅,小米在社会责任这块态度是有问题的，前段时间充电宝自燃事件也是为了避免舆论让用户多承担了2个月的安全风险,2,2025-10-17 07:56:44,支持
咔梅龙俺东妮,极氪7x的一键破窗有用吗？,0,2025-10-18 09:18:00,支持
冰冰冰蜀黍,所有科技的迭代，都是以防止人类犯傻或发错引起的错误操作带来的不良后果，比如各种防呆插口设计，比如开车门自动P档等等,8,2025-10-20 10:12:26,支持
CherIUsh丶李知恩,韩系：我不配么？,0,2025-10-31 23:35:06,中立
心悦诚服88,没撞到人就是好事,0,2025-10-27 17:54:37,中立
一顿8个馒头,我支持国家强制搞一个物理开门按键,0,2025-10-23 23:32:23,支持
一般路过的举报侠,车门必须机械结构，现在的车开门都不知道门把手在哪，更别说施救了,0,2025-10-25 18:49:01,反对
_Xk-W,这就去下单买个破窗锤[笑哭],0,2025-10-15 23:20:58,中立
